"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22p","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal",""
"D1","1","LED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J1","1","Conn_01x06_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"LS1","1","Speaker","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"MAX9814","1","","","","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"R1","1","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",""
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"U1","1","NRF24L01_Breakout","","","","RF_Module:nRF24L01_Breakout","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf"
"U2","1","ATmega328-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U3","1","pam8403","","","","pam8403:pam8403",""
"U4","1","MCP1700x-330xxMB","","","","Package_TO_SOT_SMD:SOT-89-3","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
"U5","1","","","","","TP4056-18650-master:TP4056-18650",""
"Y1","1","8Mhz Crystal","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
