Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Source,Price / pc (HKD),Total price (HKD)
"C1,C2",2,22p,,,,Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,,https://www.aliexpress.com/item/1005011747293156.html?spm=a2g0o.productlist.main.30.7a64129cjoP0hK&algo_pvid=250265f7-f317-4c17-a634-284eb734e134&algo_exp_id=250265f7-f317-4c17-a634-284eb734e134-29&pdp_ext_f=%7B%22order%22%3A%221373%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%219.39%219.39%21%21%218.10%218.10%21%402101529317799721301651834e5db4%2112000056423315138%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=MnmnogHslDg0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011747293156%7C_p_origin_prod%3A,0.09,0.19
D1,1,LED,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,https://www.aliexpress.com/item/4000857328687.html?spm=a2g0o.productlist.main.3.7ed736f3xvxO0i&algo_pvid=f82bd3cf-404a-4560-943d-e26be4f17c81&algo_exp_id=f82bd3cf-404a-4560-943d-e26be4f17c81-2&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%215.19%215.19%21%21%210.66%210.66%21%40212e509017799722265842053efd30%2110000009672063352%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=oDQofqunElDL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000857328687%7C_p_origin_prod%3A,0.05,0.05
J1,1,Conn_01x06_Pin,,,,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,,https://www.aliexpress.com/item/1005010520348816.html?spm=a2g0o.productlist.main.1.5eb2dba52r6yEg&algo_pvid=adc7dcaf-6626-435e-bed8-d85f9eceb3a6&algo_exp_id=adc7dcaf-6626-435e-bed8-d85f9eceb3a6-0&pdp_ext_f=%7B%22order%22%3A%22103%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2115.81%2115.81%21%21%212.01%212.01%21%402141131717799722656547350efcb2%2112000052679264516%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=D1pREEWKOW1V&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010520348816%7C_p_origin_prod%3A,0.32,0.32
LS1,1,Speaker,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,https://www.aliexpress.com/item/1005006150706417.html?spm=a2g0o.productlist.main.11.3e7ee4z6e4z6Ud&algo_pvid=aa66327d-aff6-4b92-97b6-a1e3447d9c76&algo_exp_id=aa66327d-aff6-4b92-97b6-a1e3447d9c76-10&pdp_ext_f=%7B%22order%22%3A%22202%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%215.82%214.95%21%21%210.74%210.63%21%40210141f717799723000363743edccb%2112000035994317465%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=Eenk0Q22XDIz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006150706417%7C_p_origin_prod%3A,2.48,2.48
MAX9814,1,,,,,Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical,,https://www.aliexpress.com/item/1005006468621971.html?spm=a2g0o.productlist.main.11.1d9b74cfuIuI2O&algo_pvid=093e7fe9-53a0-48ce-8b43-d9ceda71bb24&algo_exp_id=093e7fe9-53a0-48ce-8b43-d9ceda71bb24-10&pdp_ext_f=%7B%22order%22%3A%222125%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%214.93%214.93%21%21%214.25%214.25%21%40212e532617799725017028494e5dc5%2112000037305960543%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=WngdRYyXcwDX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006468621971%7C_p_origin_prod%3A,4.93,4.93
R1,1,10k,,,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,,https://www.aliexpress.com/item/1005007643210127.html?spm=a2g0o.productlist.main.1.7c462a0aDMnrv3&algo_pvid=f52c3b7a-1c60-4f42-9a0f-9b9912b26341&algo_exp_id=f52c3b7a-1c60-4f42-9a0f-9b9912b26341-0&pdp_ext_f=%7B%22order%22%3A%22842%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%219.28%219.28%21%21%218.00%218.00%21%400b1bf20a17799725253136936e82f3%2112000041624997250%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=wxU1nC2FHuNC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007643210127%7C_p_origin_prod%3A,0.93,0.93
SW1,1,SW_Push,,,,Button_Switch_THT:SW_PUSH_6mm_H5mm,,https://www.aliexpress.com/item/10000000781310.html?spm=a2g0o.productlist.main.3.7b2a2f42adLt80&algo_pvid=5665c4c6-24b7-444b-9eb6-ea411512a0a8&algo_exp_id=5665c4c6-24b7-444b-9eb6-ea411512a0a8-2&pdp_ext_f=%7B%22order%22%3A%221193%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%213.77%212.83%21%21%210.48%210.36%21%400b1bf20a17799725815678540e82f3%2120000000003316349%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=HLg83V4vo32Z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A10000000781310%7C_p_origin_prod%3A,0.14,0.14
U1,1,NRF24L01_Breakout,,,,RF_Module:nRF24L01_Breakout,http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf,https://www.aliexpress.com/item/1005008646429527.html?spm=a2g0o.productlist.main.15.10572a0dOP8f2H&algo_pvid=95dfcebb-5a3e-48f5-83ca-b168fcf6d8e9&algo_exp_id=95dfcebb-5a3e-48f5-83ca-b168fcf6d8e9-14&pdp_ext_f=%7B%22order%22%3A%22316%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%2112.66%2110.14%21%21%211.61%211.29%21%40210141f717799726163491799edccc%2112000046080845922%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=TWs729VWR8cE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008646429527%7C_p_origin_prod%3A,10.14,10.14
U2,1,ATmega328-P,,,,Package_DIP:DIP-28_W7.62mm,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf, https://www.aliexpress.com/item/1005004712591054.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.4.470d7441lhywKe&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=2ef33ed4-277e-424d-a56b-7739d579bc55&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A2ef33ed4-277e-424d-a56b-7739d579bc55%2Ctpp_buckets%3A668%232846%238115%232000&isseo=y&pdp_ext_f=%7B%22order%22%3A%22706%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21HKD%2112.35%219.91%21%21%211.57%211.26%21%402101590d17799726786535736e445a%2112000030196789584%21rec%21HK%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005004712591054%7C_p_origin_prod%3A,15.42,15.42
U3,1,pam8403,,,,pam8403:pam8403,,https://www.aliexpress.com/item/1005010446104300.html?spm=a2g0o.productlist.main.3.2b093525pBxlcK&algo_pvid=83990bff-c798-4f34-9f0c-0caf9bec4469&algo_exp_id=83990bff-c798-4f34-9f0c-0caf9bec4469-2&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21HKD%218.57%215.03%21%21%211.09%210.64%21%400b1bf20817799727423792032e1723%2112000052436041344%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5dfa14fb%3Bm03_new_user%3A-29895&curPageLogUid=wQtVzB21i0SP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010446104300%7C_p_origin_prod%3A,1.01,1.01
